vacancy_id,query,title,locations,salary_range_from,salary_range_to,currency,published_at,employer,details_url,date_added,source
120495966,python,Аналитик данных,Москва,,,,2025-05-13T20:44:53+0300,ГУП Московский социальный регистр,https://api.hh.ru/vacancies/120495966?host=hh.ru,2025-05-16 00:01:49.363205,hh
116457750,python,"Data Scientist, Рекомендации и персонализация",Москва,,,,2025-05-13T20:43:30+0300,Ozon,https://api.hh.ru/vacancies/116457750?host=hh.ru,2025-05-16 00:01:49.363210,hh
120046701,python,Старший системный администратор (офис),Санкт-Петербург,230000.0,,RUR,2025-05-13T20:21:20+0300,TravelLine,https://api.hh.ru/vacancies/120046701?host=hh.ru,2025-05-16 00:01:49.363216,hh
120495736,python,Разработчик SQL/ERP (junior),Красноярск,,,,2025-05-13T20:13:41+0300,X5 Tech,https://api.hh.ru/vacancies/120495736?host=hh.ru,2025-05-16 00:01:49.363221,hh
120495689,python,Руководитель команды ML и R&D,Москва,,,,2025-05-13T20:07:42+0300,NAUMEN,https://api.hh.ru/vacancies/120495689?host=hh.ru,2025-05-16 00:01:49.363227,hh
120495683,python,Руководитель команды ML и R&D,Санкт-Петербург,,,,2025-05-13T20:07:20+0300,NAUMEN,https://api.hh.ru/vacancies/120495683?host=hh.ru,2025-05-16 00:01:49.363232,hh
120495677,python,Технический писатель,Санкт-Петербург,,,,2025-05-13T20:06:05+0300,ВЕБИМ.РУ,https://api.hh.ru/vacancies/120495677?host=hh.ru,2025-05-16 00:01:49.363237,hh
120495673,python,Инженер ТП системы мониторинга,Санкт-Петербург,,,,2025-05-13T20:05:45+0300,NAUMEN,https://api.hh.ru/vacancies/120495673?host=hh.ru,2025-05-16 00:01:49.363243,hh
120495666,python,Full-stack разработчик (middle),Санкт-Петербург,,,,2025-05-13T20:05:12+0300,ВЕБИМ.РУ,https://api.hh.ru/vacancies/120495666?host=hh.ru,2025-05-16 00:01:49.363248,hh
120495664,python,Инженер технической поддержки,Москва,,,,2025-05-13T20:05:04+0300,NAUMEN,https://api.hh.ru/vacancies/120495664?host=hh.ru,2025-05-16 00:01:49.363251,hh
120495577,python,QA Engineer / Специалист по тестированию,Москва,,,,2025-05-13T19:54:41+0300,Хайстекс,https://api.hh.ru/vacancies/120495577?host=hh.ru,2025-05-16 00:01:49.363255,hh
118363932,python,Специалист по анализу подсистем безопасности (ОС Astra Linux),Москва,,,,2025-05-13T19:46:27+0300,Группа компаний Астра,https://api.hh.ru/vacancies/118363932?host=hh.ru,2025-05-16 00:01:49.363258,hh
111000151,python,Инженер presale (RuPost),Москва,,,,2025-05-13T19:45:12+0300,Группа компаний Астра,https://api.hh.ru/vacancies/111000151?host=hh.ru,2025-05-16 00:01:49.363262,hh
119839495,python,Младший инженер технической поддержки,Москва,,,,2025-05-13T19:27:52+0300,AERODISK,https://api.hh.ru/vacancies/119839495?host=hh.ru,2025-05-16 00:01:49.363265,hh
120160716,python,Senior Application Support Engineer,Минск,,,,2025-05-13T19:14:01+0300,IDT Technologies,https://api.hh.ru/vacancies/120160716?host=hh.ru,2025-05-16 00:01:49.363269,hh
118889805,python,Ведущий системный инженер,Москва,,,,2025-05-13T19:08:02+0300,Нетология,https://api.hh.ru/vacancies/118889805?host=hh.ru,2025-05-16 00:01:49.363272,hh
117637553,python,Senior Python-разработчик,Москва,,,,2025-05-13T19:05:24+0300,AERODISK,https://api.hh.ru/vacancies/117637553?host=hh.ru,2025-05-16 00:01:49.363276,hh
119839166,python,Python Developer (Data Science),Санкт-Петербург,,,,2025-05-13T19:04:20+0300,ATI.SU,https://api.hh.ru/vacancies/119839166?host=hh.ru,2025-05-16 00:01:49.363279,hh
117171947,python,SRE Engineer,Москва,,,,2025-05-13T19:04:02+0300,WINLINE,https://api.hh.ru/vacancies/117171947?host=hh.ru,2025-05-16 00:01:49.363284,hh
120495096,python,"Инженер данных (МТС Веб Сервисы, Кион)",Москва,,,,2025-05-13T19:03:24+0300,МТС,https://api.hh.ru/vacancies/120495096?host=hh.ru,2025-05-16 00:01:49.363289,hh
119609040,python,Senior С/С++ разработчик (Linux),Москва,,,,2025-05-13T18:59:57+0300,StormWall™,https://api.hh.ru/vacancies/119609040?host=hh.ru,2025-05-16 00:01:49.363292,hh
89514991,python,Middle frontend-разработчик,Санкт-Петербург,150000.0,200000.0,RUR,2025-05-13T18:45:55+0300,Бизнес Технологии,https://api.hh.ru/vacancies/89514991?host=hh.ru,2025-05-16 00:01:49.363296,hh
120494709,python,PHP developer (Laravel),Москва,,,,2025-05-13T18:44:42+0300,Lofty.,https://api.hh.ru/vacancies/120494709?host=hh.ru,2025-05-16 00:01:49.363300,hh
120337638,python,"Специалист-консультант по искусственному интеллекту / ML Engineer (TensorFlow, YOLO)",Москва,,150000.0,RUR,2025-05-13T18:38:58+0300,Городской информационный центр Инфосити,https://api.hh.ru/vacancies/120337638?host=hh.ru,2025-05-16 00:01:49.363303,hh
120160737,python,Инженер DevOps / ДевОпс,Москва,,200000.0,RUR,2025-05-13T18:36:21+0300,MLM Soft,https://api.hh.ru/vacancies/120160737?host=hh.ru,2025-05-16 00:01:49.363307,hh
41998954,python,Инженер-программист по эксплуатации облачного сервиса 1cfresh,Москва,,,,2025-05-13T18:35:57+0300,1С,https://api.hh.ru/vacancies/41998954?host=hh.ru,2025-05-16 00:01:49.363310,hh
119873479,python,Программист 1cfresh,Москва,,,,2025-05-13T18:35:56+0300,1С,https://api.hh.ru/vacancies/119873479?host=hh.ru,2025-05-16 00:01:49.363314,hh
120494401,python,Преподаватель программирования,Минск,,900.0,USD,2025-05-13T18:27:03+0300,Rocket Tech School,https://api.hh.ru/vacancies/120494401?host=hh.ru,2025-05-16 00:01:49.363318,hh
